task_type,subject_importance,deadline_days,estimated_time,difficulty,urgency_self,energy_required,self_reported_procrastination,completion_status,actual_time_vs_estimate,energy_at_attempt,priority
Assignment,Core,1.0,60.0,4.0,5.0,High,4.0,Completed but late,Slightly more,Low,High
Exam Preparation,Core,0.0,120.0,5.0,5.0,High,5.0,Started but not completed,Much more,Low,High
Project,Core,2.0,90.0,4.0,4.0,High,4.0,Completed on time,Same as estimated,Medium,High
Assignment,Core,1.0,45.0,3.0,5.0,High,4.0,Completed but late,Slightly more,Low,High
Revision / Practice,Core,2.0,60.0,3.0,4.0,Medium,3.0,Completed on time,Same as estimated,Medium,High
Assignment,Secondary,3.0,60.0,3.0,4.0,Medium,3.0,Completed on time,Same as estimated,Medium,Medium
Assignment,Secondary,4.0,90.0,3.0,3.0,Medium,3.0,Completed but late,Slightly more,Low,Medium
Project,Secondary,5.0,120.0,4.0,3.0,High,3.0,Started but not completed,Much more,Low,Medium
Revision / Practice,Secondary,6.0,60.0,3.0,3.0,Medium,3.0,Completed on time,Same as estimated,Medium,Medium
Exam Preparation,Secondary,4.0,90.0,4.0,4.0,High,4.0,Completed but late,Much more,Low,High
Reading / Notes,Optional,7.0,45.0,2.0,2.0,Low,2.0,Completed on time,Less than estimated,High,Low
Reading / Notes,Optional,10.0,60.0,1.0,1.0,Low,1.0,Completed on time,Less than estimated,High,Low
Assignment,Optional,8.0,30.0,1.0,1.0,Low,1.0,Did not start,Same as estimated,Low,Low
Revision / Practice,Optional,12.0,60.0,2.0,1.0,Low,1.0,Completed on time,Less than estimated,High,Low
Project,Optional,14.0,90.0,2.0,2.0,Medium,2.0,Started but not completed,Much more,Low,Low
Assignment,Core,2.0,60.0,4.0,4.0,High,4.0,Completed but late,Slightly more,Low,High
Assignment,Core,3.0,90.0,4.0,4.0,High,4.0,Completed on time,Same as estimated,Medium,High
Exam Preparation,Core,1.0,120.0,5.0,5.0,High,5.0,Started but not completed,Much more,Low,High
Revision / Practice,Core,2.0,45.0,3.0,4.0,Medium,3.0,Completed on time,Same as estimated,Medium,High
Project,Core,3.0,120.0,5.0,4.0,High,4.0,Started but not completed,Much more,Low,High
Assignment,Secondary,5.0,60.0,3.0,3.0,Medium,3.0,Completed on time,Same as estimated,Medium,Medium
Revision / Practice,Secondary,6.0,90.0,3.0,3.0,Medium,3.0,Completed on time,Same as estimated,Medium,Medium
Project,Secondary,7.0,120.0,4.0,3.0,High,3.0,Started but not completed,Much more,Low,Medium
Exam Preparation,Secondary,3.0,90.0,4.0,4.0,High,4.0,Completed but late,Much more,Low,High
Reading / Notes,Optional,15.0,30.0,1.0,1.0,Low,1.0,Completed on time,Less than estimated,High,Low
Assignment,Optional,10.0,45.0,1.0,1.0,Low,1.0,Did not start,Same as estimated,Low,Low
Revision / Practice,Optional,12.0,60.0,2.0,1.0,Low,1.0,Completed on time,Less than estimated,High,Low
Project,Optional,20.0,120.0,2.0,2.0,Medium,2.0,Started but not completed,Much more,Low,Low
Exam Preparation,Optional,14.0,90.0,2.0,2.0,Medium,2.0,Completed but late,Slightly more,Low,Low
Assignment,Core,1.0,30.0,3.0,5.0,Medium,4.0,Completed on time,Slightly more,Medium,High
Assignment,Core,0.0,60.0,4.0,5.0,High,5.0,Started but not completed,Much more,Low,High
Revision / Practice,Core,2.0,60.0,3.0,4.0,Medium,3.0,Completed on time,Same as estimated,Medium,High
Project,Core,1.0,120.0,5.0,5.0,High,5.0,Started but not completed,Much more,Low,High
Exam Preparation,Core,2.0,90.0,4.0,4.0,High,4.0,Completed but late,Much more,Low,High
Assignment,Secondary,4.0,60.0,3.0,3.0,Medium,3.0,Completed on time,Same as estimated,Medium,Medium
Revision / Practice,Secondary,5.0,45.0,2.0,3.0,Low,2.0,Completed on time,Less than estimated,High,Medium
Reading / Notes,Secondary,6.0,30.0,1.0,2.0,Low,1.0,Completed on time,Less than estimated,High,Low
Project,Secondary,8.0,120.0,3.0,3.0,High,3.0,Started but not completed,Much more,Low,Medium
